date_created, time_created,hashtag,count
Nov 16 2018,04:00:00-04:59:59,#BlueTsunami,1
Nov 16 2018,04:00:00-04:59:59,#RacistMoulton,1
Nov 17 2018,00:00:00-00:59:59,#CNN,1
Nov 17 2018,00:00:00-00:59:59,#LarryKing,1
Nov 17 2018,01:00:00-01:59:59,#thelastleg,1
Nov 18 2018,01:00:00-01:59:59,#trndnl,2
Nov 18 2018,18:00:00-18:59:59,#aaa,1
Nov 18 2018,21:00:00-21:59:59,#ElectionFraud,3
Nov 18 2018,21:00:00-21:59:59,#Republicans,3
Nov 18 2018,21:00:00-21:59:59,#GOP,3
Nov 18 2018,21:00:00-21:59:59,#Democrat,3
Nov 19 2018,02:00:00-02:59:59,#CNN,1
Nov 19 2018,02:00:00-02:59:59,#MSNBC,1
Nov 19 2018,02:00:00-02:59:59,#LarryKing,1
Nov 19 2018,04:00:00-04:59:59,#humor,1
Nov 19 2018,11:00:00-11:59:59,#qanda,1
Nov 19 2018,11:00:00-11:59:59,#auspol,1
