date_created,time_created,keyword,count
Nov 16 2018,04:00:00-04:59:59,trump,19
Nov 16 2018,04:00:00-04:59:59,no,9
Nov 16 2018,04:00:00-04:59:59,vote,8
Nov 16 2018,04:00:00-04:59:59,all,5
Nov 16 2018,04:00:00-04:59:59,president,5
Nov 16 2018,04:00:00-04:59:59,just,5
Nov 16 2018,04:00:00-04:59:59,us,5
Nov 16 2018,04:00:00-04:59:59,can,4
Nov 16 2018,04:00:00-04:59:59,over,4
Nov 16 2018,04:00:00-04:59:59,russia,4
Nov 16 2018,18:00:00-18:59:59,there,2
Nov 16 2018,18:00:00-18:59:59,google,1
Nov 16 2018,18:00:00-18:59:59,some,1
Nov 16 2018,18:00:00-18:59:59,results,1
Nov 16 2018,18:00:00-18:59:59,right,1
Nov 16 2018,18:00:00-18:59:59,are,1
Nov 16 2018,18:00:00-18:59:59,if,1
Nov 16 2018,18:00:00-18:59:59,would,1
Nov 16 2018,18:00:00-18:59:59,'collusion',1
Nov 16 2018,18:00:00-18:59:59,top,1
Nov 16 2018,21:00:00-21:59:59,all,10
Nov 16 2018,21:00:00-21:59:59,played,10
Nov 16 2018,21:00:00-21:59:59,ffs,10
Nov 16 2018,21:00:00-21:59:59,traitor,10
Nov 16 2018,21:00:00-21:59:59,decade,10
Nov 16 2018,21:00:00-21:59:59,malware,10
Nov 16 2018,21:00:00-21:59:59,end,10
Nov 16 2018,21:00:00-21:59:59,bailed,10
Nov 16 2018,21:00:00-21:59:59,since,10
Nov 16 2018,21:00:00-21:59:59,lean,10
Nov 16 2018,22:00:00-22:59:59,all,18
Nov 16 2018,22:00:00-22:59:59,both,18
Nov 16 2018,22:00:00-22:59:59,ffs,18
Nov 16 2018,22:00:00-22:59:59,traitor,18
Nov 16 2018,22:00:00-22:59:59,decade,18
Nov 16 2018,22:00:00-22:59:59,facebook,18
Nov 16 2018,22:00:00-22:59:59,since,18
Nov 16 2018,22:00:00-22:59:59,lean,18
Nov 16 2018,22:00:00-22:59:59,https://tco/elzrlpfrvp,18
Nov 16 2018,22:00:00-22:59:59,oh,18
Nov 16 2018,23:00:00-23:59:59,all,12
Nov 16 2018,23:00:00-23:59:59,played,12
Nov 16 2018,23:00:00-23:59:59,ffs,12
Nov 16 2018,23:00:00-23:59:59,traitor,12
