created_date,time_created,username,tweets_posted
Nov 16 2018,04:00:00-15:59:59,CarolSGardenFly,1
Nov 16 2018,04:00:00-15:59:59,mrtweeterverse,1
Nov 16 2018,04:00:00-15:59:59,jmcolonell,1
Nov 16 2018,04:00:00-15:59:59,PatriotUSA63,1
Nov 16 2018,04:00:00-15:59:59,72mz,1
Nov 16 2018,04:00:00-15:59:59,blackholetalos,1
Nov 16 2018,04:00:00-15:59:59,Innrdreams,1
Nov 16 2018,04:00:00-15:59:59,MilfordGladston,1
Nov 16 2018,04:00:00-15:59:59,Crazy8ADELLA,1
Nov 16 2018,04:00:00-15:59:59,LuvPrayWorkSing,1
Nov 16 2018,07:00:00-18:59:59,mccuebillie,1
Nov 16 2018,08:00:00-19:59:59,mccuebillie,1
Nov 16 2018,09:00:00-20:59:59,mccuebillie,1
Nov 16 2018,10:00:00-21:59:59,2006ta,1
Nov 16 2018,10:00:00-21:59:59,mccuebillie,1
Nov 16 2018,10:00:00-21:59:59,cristo_monte,1
Nov 16 2018,10:00:00-21:59:59,ealight461,1
Nov 16 2018,10:00:00-21:59:59,CricketixSue,1
Nov 16 2018,10:00:00-21:59:59,coolfinish,1
Nov 16 2018,10:00:00-21:59:59,RosemarieBrown3,1
Nov 16 2018,10:00:00-21:59:59,gregdoolan,1
Nov 16 2018,10:00:00-21:59:59,GManfan64,1
Nov 16 2018,10:00:00-21:59:59,BobbyOrrWhat,1
Nov 16 2018,11:00:00-22:59:59,jklearnit,1
Nov 16 2018,11:00:00-22:59:59,jparsonLinda,1
Nov 16 2018,11:00:00-22:59:59,kmross46,1
Nov 16 2018,11:00:00-22:59:59,nordygirl39,1
Nov 16 2018,11:00:00-22:59:59,2006ta,1
Nov 16 2018,11:00:00-22:59:59,DonJongUn1,1
Nov 16 2018,11:00:00-22:59:59,mccuebillie,1
Nov 16 2018,11:00:00-22:59:59,TheOldBoi,1
Nov 16 2018,11:00:00-22:59:59,WI_politics_now,1
Nov 16 2018,11:00:00-22:59:59,bethsinniresist,1
Nov 16 2018,12:00:00-23:59:59,jklearnit,1
Nov 16 2018,12:00:00-23:59:59,m_bri12191046,1
Nov 16 2018,12:00:00-23:59:59,AnneBai23852102,1
Nov 16 2018,12:00:00-23:59:59,jparsonLinda,1
Nov 16 2018,12:00:00-23:59:59,kmross46,1
Nov 16 2018,12:00:00-23:59:59,TemmiV,1
Nov 16 2018,12:00:00-23:59:59,nordygirl39,1
Nov 16 2018,12:00:00-23:59:59,shondi99,1
Nov 16 2018,12:00:00-23:59:59,2006ta,1
Nov 16 2018,12:00:00-23:59:59,DonJongUn1,1
Nov 16 2018,13:00:00-00:59:59,jklearnit,1
Nov 16 2018,13:00:00-00:59:59,m_bri12191046,1
Nov 16 2018,13:00:00-00:59:59,AnneBai23852102,1
Nov 16 2018,13:00:00-00:59:59,DianaPrice5,1
